Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Begin File,File Offset (s),Begin Path,Freq 5% (Hz),Freq 95% (Hz),Peak Freq (Hz),Dur 90% (s),Center Time (s),Time 5% (s),Time 95% (s),Type,Syllables p Song,Site
31,Spectrogram 1,1,3583.234174,3583.431419,2686,6470.8,S1123KIP1_048K_S04_S7112_20240113_070004.flac,582.9142,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240113_070004.flac,2859.375,6234.375,3515.625,0.1778,3583.3437,3583.2447,3583.4225,Syllable,,S04
32,Spectrogram 1,1,3582.989966,3583.234174,2502.9,6348.7,S1123KIP1_048K_S04_S7112_20240113_070004.flac,582.67,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240113_070004.flac,2625,6093.75,3515.625,0.2162,3583.1234,3583.0042,3583.2204,Syllable,,S04
33,Spectrogram 1,1,3582.773936,3582.971181,2502.9,6531.8,S1123KIP1_048K_S04_S7112_20240113_070004.flac,582.4539,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240113_070004.flac,2671.875,6281.25,3515.625,0.1738,3582.8829,3582.7879,3582.9617,Syllable,,S04
34,Spectrogram 1,1,3582.557906,3582.783329,2319.7,6348.7,S1123KIP1_048K_S04_S7112_20240113_070004.flac,582.2379,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240113_070004.flac,2484.375,6046.875,3515.625,0.2001,3582.6788,3582.5717,3582.7718,Syllable,,S04
35,Spectrogram 1,1,3582.332484,3582.557906,2441.8,6348.7,S1123KIP1_048K_S04_S7112_20240113_070004.flac,582.0125,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240113_070004.flac,2625,6093.75,3515.625,0.2001,3582.4545,3582.3474,3582.5475,Syllable,,S04
36,Spectrogram 1,1,3582.125846,3582.323091,2624.9,6226.6,S1123KIP1_048K_S04_S7112_20240113_070004.flac,581.8059,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240113_070004.flac,2718.75,5953.125,3515.625,0.1758,3582.2342,3582.1372,3582.3131,Syllable,,S04
37,Spectrogram 1,1,3590.410127,3590.597979,2563.9,6592.9,S1123KIP1_048K_S04_S7112_20240113_070004.flac,590.0901,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240113_070004.flac,2671.875,6328.125,3515.625,0.1698,3590.5136,3590.4206,3590.5904,Syllable,,S04
38,Spectrogram 1,1,3590.175311,3590.391341,2747,6409.7,S1123KIP1_048K_S04_S7112_20240113_070004.flac,589.8553,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240113_070004.flac,2906.25,6140.625,3515.625,0.192,3590.2933,3590.1882,3590.3802,Syllable,,S04
39,Spectrogram 1,1,3589.959281,3590.175311,2624.9,6348.7,S1123KIP1_048K_S04_S7112_20240113_070004.flac,589.6393,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240113_070004.flac,2718.75,6093.75,3515.625,0.192,3590.0771,3589.972,3590.164,Syllable,,S04
40,Spectrogram 1,1,3589.762037,3589.978067,2869.1,5921.4,S1123KIP1_048K_S04_S7112_20240113_070004.flac,589.442,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240113_070004.flac,3000,5765.625,3515.625,0.192,3589.8811,3589.776,3589.968,Syllable,,S04
